BLDG_NM,THING_AMT,address,latitude,longitude,THING_AMT_KOR
구의현대6단지,153250,서울특별시 광진구 구의동 0610-0000 구의현대6단지,37.5384985628719,127.09466413874,15억 3천
구의현대7단지현대홈타운,98000,서울특별시 광진구 구의동 0587-0054 구의현대7단지현대홈타운,37.5368375299652,127.090930397466,9억 8천
구의현대하이엘,80000,서울특별시 광진구 자양동 0779-0011 구의현대하이엘,37.5375239543766,127.082272036701,8억
군자 아델리제,19100,서울특별시 광진구 능동 0222-0002 군자 아델리제,37.5561465352134,127.081073051993,1억 9천
궁전빌라,38000,서울특별시 광진구 구의동 0027-0007 궁전빌라,37.5542258806567,127.093729540574,3억 8천
그랜드빌,25500,서울특별시 광진구 구의동 0025-0018 그랜드빌,37.5532037051557,127.094737736157,2억 5천
그랜드빌(나),28100,서울특별시 광진구 구의동 0031-0036 그랜드빌(나),37.5527331317296,127.093244099038,2억 8천
그랜드아파트,74000,서울특별시 광진구 자양동 0636-0011 그랜드아파트,37.5317475979216,127.080237362099,7억 4천
그랜드파크 오피스텔,19200,서울특별시 광진구 구의동 0076-0001 그랜드파크 오피스텔,37.5513457353509,127.089333351949,1억 9천
그레이스빌,34500,서울특별시 광진구 자양동 0617-0039 그레이스빌,37.5336689965657,127.08034894044,3억 4천
그레이스힐즈,55000,서울특별시 광진구 중곡동 0190-0037 그레이스힐즈,37.5662124181828,127.077936722628,5억 5천
그리다,43000,서울특별시 광진구 군자동 0354-0005 그리다,37.5499974472422,127.068952181187,4억 3천
그리미아빌,40000,서울특별시 광진구 군자동 0027-0013 그리미아빌,37.5534409228372,127.075933887051,4억
그린,83000,서울특별시 광진구 자양동 0665-0000 그린,37.5299441279929,127.083012549762,8억 3천
그린빌,63000,서울특별시 광진구 자양동 0800-0009 그린빌,37.5363873455533,127.07719670886,6억 3천
그린빌라,27000,서울특별시 광진구 중곡동 0608-0005 그린빌라,37.5703708578232,127.085879710816,2억 7천
그린아트빌라(A),11000,서울특별시 광진구 구의동 0036-0034 그린아트빌라(A),37.5501831489263,127.095694686781,1억 1천
그린트리,65000,서울특별시 광진구 중곡동 0130-0001 그린트리,37.5562082169518,127.085219265845,6억 5천
그린하우스,30500,서울특별시 광진구 중곡동 0258-0006 그린하우스,37.560771117775,127.079430141813,3억
그린하우스(2차),21500,서울특별시 광진구 군자동 0076-0017 그린하우스(2차),37.5535989449278,127.075391620992,2억 1천
그린힐(57-109),28000,서울특별시 광진구 구의동 0057-0109 그린힐(57-109),37.5502802788366,127.092985289252,2억 8천
