id,listing,rental_condition,details,agency,address,latitude,longitude,transaction_type,deposit,monthly_rent,housing_type,area_info,floor_info,direction
1779,집주인일반원룸,"월세9,600/35","원룸20/16m², 저/6층, 북서향",신세계공인중개사,서울시 광진구 중곡동 158-10,37.5579137734444,127.081040447661,월세,9600,35,원룸,20/16m,저/6층,북서향
1780,집주인다가구,월세1억/60,"단독/다가구39/39m², 2/3층, 북동향",경기공인중개사사무소,서울시 광진구 중곡동 128-41,37.5579640437539,127.085269705256,월세,10000,60,단독/다가구,39/39m,2/3층,북동향
1781,집주인일반원룸,"월세5,000/85","원룸-/24m², 6/8층, 북향",새동아공인중개사사무소,서울시 광진구 중곡동 158-10,37.5579137734444,127.081040447661,월세,5000,85,원룸,-/24m,6/8층,북향
1782,집주인일반원룸,"월세3,000/35","원룸45/20m², 1/5층, 남서향",더 에이 공인중개사사무소,서울시 광진구 중곡동 46-5,37.5604755960572,127.084610572161,월세,3000,35,원룸,45/20m,1/5층,남서향
1783,집주인다가구,"월세2,000/50","단독/다가구59/30m², 1/3층, 남동향",행복부동산공인중개사사무소,서울시 광진구 중곡동 175-66,37.5693699295959,127.081055009031,월세,2000,50,단독/다가구,59/30m,1/3층,남동향
1784,집주인일반원룸,"월세1,000/50","원룸44/24m², B1/3층, 남서향",더 에이 공인중개사사무소,서울시 광진구 중곡동 175-66,37.5693699295959,127.081055009031,월세,1000,50,원룸,44/24m,B1/3층,남서향
1785,집주인단독,월세500/25,"단독/다가구80/30m², B1/2층, 서향",행복부동산공인중개사사무소,서울시 광진구 중곡동 692-7,37.5682414920736,127.081753203822,월세,500,25,단독/다가구,80/30m,B1/2층,서향
1786,다가구,"월세1,000/65","단독/다가구-/30m², 3/4층, 동향",서울공인중개사사무소,서울시 광진구 중곡동 616-8,37.5612234468774,127.076799138929,월세,1000,65,단독/다가구,-/30m,3/4층,동향
1787,일반원룸,"전세1억 6,000","원룸42/36m², 중/4층, 남향",골든키공인중개사사무소,서울시 광진구 중곡동 211-21,37.5693470599661,127.082721091985,전세,16000,0,원룸,42/36m,중/4층,남향
1788,일반원룸,"전세1억 9,000","원룸49/25m², 3/5층, 북동향",국가대표공인중개사사무소,서울시 광진구 중곡동 211-21,37.5693470599661,127.082721091985,전세,19000,0,원룸,49/25m,3/5층,북동향
1789,일반원룸,"월세1,000/40","원룸33/33m², 1/3층, 남향",The두꺼비공인중개사사무소,서울시 광진구 중곡동 211-21,37.5693470599661,127.082721091985,월세,1000,40,원룸,33/33m,1/3층,남향
1790,집주인빌라,"전세3억 6,000","빌라34/27m², 4/6층, 남동향",모아이공인중개사사무소,서울시 광진구 중곡동 128-6,37.5583879747666,127.085626698332,전세,36000,0,빌라,34/27m,4/6층,남동향
1791,일반원룸,"월세2,000/50","원룸-/18m², 2/4층, 동향",김시은공인중개사사무소,서울시 광진구 중곡동 255-47,37.5613036378638,127.077622282127,월세,2000,50,원룸,-/18m,2/4층,동향
1792,집주인단독,"월세1,000/65","단독/다가구29/29m², 3/4층, 북동향",부동산타운공인중개사사무소,서울시 광진구 중곡동 616-8,37.5612234468774,127.076799138929,월세,1000,65,단독/다가구,29/29m,3/4층,북동향
1793,집주인일반원룸,"월세1,000/60","원룸19/14m², 1/5층, 북향",원스탑부동산공인중개사사무소,서울시 광진구 중곡동 51-8,37.5597600300929,127.084098303252,월세,1000,60,원룸,19/14m,1/5층,북향
1794,집주인빌라,"월세2,000/70","빌라30/25m², 1/4층, 남서향",백억공인중개사사무소,서울시 광진구 중곡동 172-1,37.5664779929637,127.083654566592,월세,2000,70,빌라,30/25m,1/4층,남서향
